,问题,选项1,选项2,选项3,选项4,答案
669,以下哪句话中“网络”的意思(或用法)与其他句子不同。,作为全国性对外招商引资信息网络机构，中国经贸合作信息网络中心（ＣＥＣ）于去年十月成立，此后在每届广交会上举办一次地区性的经贸合作交流活动。,输电网络,中国科学院紫金山天文台今天宣布，中国已经建立全国性观测苏梅克—列维９号彗星撞击木星的网络，并制订了规模宏大的天文监测计划。,“深业控股”此番集资主要投入发展跨市巴士服务、全国性租车网络、以及注入现有的地产项目，建成以香港为基地、以深圳为业务重点的综合企业。,B
670,以下哪句话中“人类”的意思(或用法)与其他句子不同。,宽容，是人类文化传承的美德。大海因为宽容，而变得浩瀚无边；天空因为宽容，云彩绵绵而美丽动人；山峰因为宽容，汇集细土尘沙而巍峨耸立。世界因有了宽容，才有了永恒的美丽,我们每天早上可能会从报纸上看到人类的各种悲剧，但是，我们真的听到这些人的呐喊了吗？我们真的义无反顾地倾力相助了吗？我决心这样去做,书是人类进步的阶梯。高尔,同情，人性中不可缺少的元素，人类组合的和谐音响。我曾苦苦地追寻过它的色彩显像，包含着色彩三原色中的两种。没错，肯定没错，请原谅我的自信。难道你没看到，它给被同情者送去的是温暖，为同情者带回的是收获,B
671,以下哪句话中“军队”的意思(或用法)与其他句子不同。,没有文化的军队是愚蠢的军队…,奥伊达尼奇因南斯拉夫军队在科索沃所犯暴行而受到联合国战争罪行法庭的控告。,军队得捍卫祖国的土地，思想家昨捍卫它的思想。,突然一群蚂蚁吸引了我的注意，蚂蚁军队浩浩荡荡整齐有序地向草丛里前进，像是要去参加一场战争，好奇心驱使我跟在蚂蚁军队后向“战场”前进…,D
672,以下哪句话中“体育”的意思(或用法)与其他句子不同。,体育可以帮助人们经受对体力和脑。,我们的体育老师方脸宽额、浓眉大眼，高挺的鼻梁，脖子上一年四季挂着那只白色的哨子，在胸前一闪一闪的,生活多美好啊，体育锻炼乐趣无穷。,草地柔软而有弹性，比城里体育馆的垫子还要强，这简直是一个天然的运动场,B
673,以下哪句话中“集中”的意思(或用法)与其他句子不同。,不要沉溺于过去，不要幻想未来，集中精力，过好眼下的每一分每一秒,试述都市和乡村有何不同？后者是较大的婚姻集中营,再说，富士的风景也不都集中在山顶呀，山脚下的景点多着呢！”,烟尘污染要减轻，集中供热是途径,A
674,以下哪句话中“到来”的意思(或用法)与其他句子不同。,春天到来时，一望无际的油菜花黄澄澄、金灿灿，麦苗绿油油，留在麦苗上的昨夜的露珠在和煦的阳光照耀下，闪烁着美丽的光芒,如果不能耐心的等待成功的到来，那么只能用耐心去等待一生的失败,黑夜无论怎样悠长，白昼总会到来。,迎春花一片一片，整齐地排着队，好像在欢迎春姑娘的到来呢,D
675,以下哪句话中“呼吁”的意思(或用法)与其他句子不同。,家庭成员的平等是家庭和睦幸福的基础。家是呼吁不平、治疗愤懣最好的地方,作为一位长期为民生呼吁的人，面对现实，我很无奈，很悲伤……,社会呼吁同情心，同情就像一条链子，将人们紧紧相连，假如这链子断了，人们就会变成一个个孤立的个体，任何打击都可将其击毁,我们只能呼吁社会良知和健全的制度,A
676,以下哪句话中“财务”的意思(或用法)与其他句子不同。,与公司门面及财务状况相较，我们应该更关心公司的灵魂那就是我们的价值观，热情与操守。,精通财务，要做到心中有数，但不可以成为守财奴，懂得投入，才会有产出，准确的投资与再投入是下一步发展的基石,老师把学杂费查点清楚，交到财务室,村民要求村里财务公开,C
677,以下哪句话中“合作”的意思(或用法)与其他句子不同。,不要找陌生人或自己不太了解的人合作，除非你已经拥有驾御这种危险合作的经验与能力,自学下苦功，合作比输赢,但是南斯拉夫外长有关和前南斯拉夫国际战争罪行法庭合作的表态，似乎为该法庭参与对米洛舍维奇等被指控犯下战争罪行的被告的审判，敞开了大门。,不善合作，一败涂地，齐心协力，共享成功,C
678,以下哪句话中“运动员”的意思(或用法)与其他句子不同。,下半场运动员们你争我夺，有的打得汗流浃背，有的脸涨得通红，有的累得跑不动了,奥运赛场上，运动员们奉献的是超越自我的勇气，奉献的是舍我其谁的精神，奉献的是对祖国养育之恩的回报,说时迟，那时快。那个摔倒在地上的运动员，手一撑，脚一踮，猛地爬了起来。左脚尖顶住起跑线，膝盖一弯，稳稳地蹲着。两手就像两根木柱插在地上，整个身体微微前倾，那架势，就像一只起飞的雄鹰,开场式后就是我们这些运动员们大显身手的时候了。看：跑步运动员正在做热身运动，摩拳擦掌；跳高运动员似乎要飞上天空一般，飞过栏杆；就连小小的垒球都在天空中划出一条美丽的弧线,C
679,以下哪句话中“声明”的意思(或用法)与其他句子不同。,我国政府发表声明，对某国政府干涉我国内政表示强烈抗议,判断一个人当然不是看他的声明，而是看他的行为；不是看他自称如何如何，而是看他做些什么和实际是怎样的一个人。,判断一个人当然不是看他的声明，而是看他的行动，不是看他自称如何如何，而是看他做些什么和实际上是怎样一个人。,数学家毫不顾及声明或猜想，他们仅仅根据定义和公理，并用论证和推理来演绎每一件事。事实上，现在把那些仅由猜想或假说建立起来的理论称之为科学事不正确的，因为猜想往往求助于某种见解或主张，因而他不能由此而产生知识,A
680,以下哪句话中“切实”的意思(或用法)与其他句子不同。,切实执行你的梦想，以便发挥它的价值，不管梦想有多好，除非真正身体力行，否则，永远没有收获,上海市副市长蒋已任在现场接受记者采访时说：上海市已净化市场投资环境为目标，严厉惩治造假售假者，确立长期作战思想，切实加强综合治理力度，使上海的打假工作取得决定性成效。,熊熊的热忱，凭着切实有用的知识与坚忍不拔，是最常造就成功的品性。,美方应充分认识到，美售台武器的严重危害性，切实恪守中、美３个联合公报和有关承诺，立即停止售台武器。,C
681,以下哪句话中“涉及”的意思(或用法)与其他句子不同。,凡涉及到广大群众的事情，要走群众路线,我校集体认为，全体教师都了解涉及每个学生的一切，即了解他的思维、情感、天资、能力、兴趣、倾向、爱好，这是我们的职责。只有当每个孩子亲身感受到是许多教师在影响他，而且是他们每个人仿佛都在把自己的一份精神力量注入给他的情况下，教师集体才能成为一种教育力量,凡是涉及到纠纷和诉讼官司，没有钱的一方不容易获胜；孤寂贫穷的不得志的人，没有钱就难以摆脱困境；人们之间的仇恨和嫌疑，有时不用钱就无法化解；许多丑闻和被人耻笑的事情，莫不因钱而引发,要从读一本书得到好处，必须具有书中所涉及的一切知识,C
682,以下哪句话中“在于”的意思(或用法)与其他句子不同。,水之美，在于其烟波浩渺，澄净如练，瀑流飞逝，涛叠浪涌；在于清泉汩汩，小溪潺潺，溅玉飞珠，光影如幻；在于水草摇曳其中，条鱼穿梭其间，稳静中那一份含蓄，激越中那一种飞扬,真正的个人主义在于把你自己这块材料铸造成个东西。有时候，我觉得这个世界就好像大海上翻了船，最要紧的是救出我自己。救国需从救出你自己开始。,流星之所以美丽在于燃烧的过程，人生之所以美丽在于奋斗的过程,生命力的意义在于拼搏，因为世界本身就是一个竞技场,B
683,以下哪句话中“提前”的意思(或用法)与其他句子不同。,每天提前15分钟上班，推迟30分钟下班,只要大家努力，提前完成任务是可能的,零点钟声还未响，我来提前拜大年，玉兔作揖迎瑞龙，美好祝福抢在前，真心祝福在龙年：龙精虎猛身体棒！龙腾虎跃事事旺,日本首相森喜朗在东京提前出版的《日中友好协会机关报——日本与中国元旦号》上发表新年暨新世纪贺辞，表示希望日中关系在２１世纪得到进一步加强。,A
684,以下哪句话中“职工”的意思(或用法)与其他句子不同。,记者从有关方面获悉，遍布中国的外商投资企业职工达到一千七百五十万人。,腐败似寒冰，冷透职工心,对一个职工，如果他平时马马虎虎，我会十分生气，一定会批评，但他有时做错事，你应该给他机会去改正,工资改革，涉及到每个职工的切身利益。,D
